Название_позиции,Ключевые_слова,Описание,Тип_товара,Цена,Валюта,Единица_измерения,Ссылка_изображения,Наличие,Идентификатор_товара
Мансардное окно FAKRO Profi FTP-V U3 66x118 см. дерево,Мансардные окна FAKRO,"<div data-qaid=""product_description"" itemprop=""description""><p>Модель FAKRO FTP-V U3 – окно со среднеповоротным способом открывания, изготовленное с применением системы безопасности topSafe, которая обеспечивает дополнительную защиту от взлома. Окно оборудовано автоматическим антиконденсатным вентиляционным клапаном V40Р и оснащено однокамерным энергосберегающим морозостойким стеклопакетом, в котором внешнее стекло – закаленное, внутреннее – с низкоэмиссионным покрытием. FTP-V U3 – в наличии до исчерпания складских запасов.</p> <p>В нашем интернет-магазине Вы также найдете шторки, маркизеты, ролеты к мансанрдным окнам любых размеров и видов.</p></div>",u,"6 622,20",UAH,шт,https://images.ua.prom.st/494627685_w640_h640_cid1051305_pid347436391-f4310cae.jpg,+,239705367
Гидроизоляционный оклад FAKRO EZV-P 78x140 см.,Мансардные окна FAKRO,"<div data-qaid=""product_description"" itemprop=""description""><p> Оклад для профильных кровельных покрытий EZV-P позволяет соединить окно с профилированным кровельным материалом: черепица, металлочерепица.</p></div>",u,"1 708,20",UAH,шт,https://images.ua.prom.st/494627513_w640_h640_cid1051305_pid347436570-74047c5a.jpg,+,889920626
Гидроизоляционный оклад FAKRO EZV-P 66x118 см.,Мансардные окна FAKRO,"<div data-qaid=""product_description"" itemprop=""description""><p> Оклад для профильных кровельных покрытий EZV-P позволяет соединить окно с профилированным кровельным материалом: черепица, металлочерепица.</p></div>",u,"1 357,20",UAH,шт,https://images.ua.prom.st/494627509_w640_h640_cid1051305_pid347436567-da770355.jpg,+,708372633
Гидроизоляционный оклад FAKRO ESV 78x98 см.,Мансардные окна FAKRO,"<div data-qaid=""product_description"" itemprop=""description""><p> Оклад для плоских кровельных покрытий FAKRO ESV позволяет соединить окно с плоскими кровельными материалами: еврорубероид, кровельное железо,  ---епица.</p> ---</div>",u,"1 193,40",UAH,шт,https://images.ua.prom.st/494627506_w640_h640_cid1051305_pid347436564-92df2711.jpg,+,960138367
Мансардное окно FAKRO Profi FTP-V U3 78x140 см. дерево,Мансардные окна FAKRO,"<div data-qaid=""product_description"" itemprop=""description""><p>Модель FAKRO FTP-V U3 – окно со среднеповоротным способом открывания, изготовленное с применением системы безопасности topSafe, которая обеспечивает дополнительную защиту от взлома. Окно оборудовано автоматическим антиконденсатным вентиляционным клапаном V40Р и оснащено однокамерным энергосберегающим морозостойким стеклопакетом, в котором внешнее стекло – закаленное, внутреннее – с низкоэмиссионным покрытием. FTP-V U3 – в наличии до исчерпания складских запасов.</p> <p>В нашем интернет-магазине Вы также найдете шторки, маркизеты, ролеты к мансанрдным окнам любых размеров и видов.</p></div>",u,"8 470,80",UAH,шт,https://images.ua.prom.st/494627688_w640_h640_cid1051305_pid347436394-0ebd2e38.jpg,+,687097274
Штора ARS для мансардных окон FAKRO 78X98 см.,Мансардные окна FAKRO,"<div data-qaid=""product_description"" itemprop=""description""><p> Штора ARS сокращает доступ света и дополняет интерьер помещения. Три пары креплений позволяют зафиксировать штору в разных положениях. Алюминиевая планка закрывает валик шторы, придавая конструкции эстетичный вид. Изготавливаeтся из полиэстеровой ткани.</p> <p>Большой выбор расцветок (однотонных и с рисунком), позволяет подобрать вариант, соответствующий дизайну помещения.</p> <p>В нашем магазине Вы найдете шторы ARS следующих цветов: белый, серый, светло-серый, бежевый, лимонный, оранжевый.</p></div>",u,936,UAH,шт,https://images.ua.prom.st/494627516_w640_h640_cid1051305_pid347436573-e4f3f6c6.jpg,+,78136
Мансардное окно FAKRO Standart FTS-V U2 78x118 см. дерево,Мансардные окна FAKRO,"<div data-qaid=""product_description"" itemprop=""description""><p> Модель FTS-V U2 оснащена энергосберегающим стеклопакетом U2 с внешним закаленным стеклом и вентклапаном V10. </p> <p>Технические характеристики:</p> <ul> <li>Однокамерный энергосберегающий морозостойкий стеклопакет.</li> <li>Безопасность: во всех моделях внешнее стекло – закаленное. Применение специальных предохранителей не позволяет извлечь стеклопакет. Ручка, позволяющая фиксировать створку для проветривания, препятствует проникновению в помещение при открытом окне.</li> <li>Долговечность: изготовлены из высококачественной древесины сосны без сучков, пропитанной антисептиком в вакуумной камере и покрытой 2 слоями полиакрилового лака на водной основе.</li> <li>Всепогодная вентиляция: модель  --- FTS-V U2 оснащена эксклюзивным вентиляционным клапаном V10.</li> <li>Функциональность: удобная ручка, расположенная в нижней части оконной створки, позволяет легко открывать-закрывать мансардное окно и фиксировать его в двух положениях проветривания.</li> <li>Монтируются в крышу с углом наклона от 15 до 90°. </li> <li>Комплектуются изоляционным окладом, выбор которого зависит от типа кровельного покрытия. </li> <li>Окна дополняются широкой гаммой аксессуаров и приспособлений.</li> <li>Благодаря системе безопасности FAKRO topSafe окна для крыши соответствуют самым строгим Европейским нормам безопасности, являются одними из самых безопасных на рынке.</li> </ul></div>",u,"5 569,20",UAH,шт,https://images.ua.prom.st/494627691_w640_h640_cid1051305_pid347436397-b9f6e4f6.jpg,+,192068617
Гидроизоляционный оклад для окон-вылазов FAKRO ESW 66x98 см.,Мансардные окна FAKRO,"<div data-qaid=""product_description"" itemprop=""description""><p> Изоляционный оклад - обязательный элемент для всех мансардных окон, обеспечивающий герметичную установку окна в крышу.</p> <p>Изоляционный оклад подбирается в зависимости от вида кровельного покрытия - для плоских кровельных материалов (фальцевая кровля, битумная черепица и др.) или для  ---металлочерепица, профнастил и др.). </p></div>",u,"1 380,60",UAH,шт,https://images.ua.prom.st/494627524_w640_h640_cid1051305_pid347436582-950a2848.jpg,+,249847868
Выход на крышу FAKRO FWL U3 левый 66x98 см. дерево,Мансардные окна FAKRO,"<div data-qaid=""product_description"" itemprop=""description""><p> Термоизоляционные окна FAKRO FWR/FWL имеют боковой способ открывания (на угол до 90°) и предназначены для установки в жилых отапливаемых помещениях. Окно может иметь правое FWL U3 (ручка слева) или левое FWR U3 (ручка справа) открывание. </p> <p>Окно оборудовано удобной ручкой, герметично закрывающей и фиксирующей его в двух положениях проветривания. Большие размеры позволяют легко и без риска выходить на крышу для ее обслуживания (ремонта кровли, очистки от снега или листьев).</p></div>",u,"7 441,20",UAH,шт,https://images.ua.prom.st/494627519_w640_h640_cid1051305_pid347436576-7972cc1c.jpg,+,168936193
Выход на крышу FAKRO FWR U3 правый 66x98 см. дерево,Мансардные окна FAKRO,"<div data-qaid=""product_description"" itemprop=""description""><p> Термоизоляционные окна FAKRO FWR/FWL имеют боковой способ открывания (на угол до 90°) и предназначены для установки в жилых отапливаемых помещениях. Окно может иметь правое FWL U3 (ручка слева) или левое FWR U3 (ручка справа) открывание. </p> <p>Окно оборудовано удобной ручкой, герметично закрывающей и фиксирующей его в двух положениях проветривания. Большие размеры позволяют легко и без риска выходить на крышу для ее обслуживания (ремонта кровли, очистки от снега или листьев).</p></div>",u,"7 441,20",UAH,шт,https://images.ua.prom.st/494627522_w640_h640_cid1051305_pid347436579-318c5c27.jpg,+,814677978
