Название_позиции,Ключевые_слова,Описание,Тип_товара,Цена,Валюта,Единица_измерения,Ссылка_изображения,Наличие,Идентификатор_товара
"Держатель желоба Profil метал. 90, белый",Водосточные системы Profil,"<div data-qaid=""product_description"" itemprop=""description""><p>Предназначен для крепления желоба к кровельной конструкции и задания необходимого уклона водосточной системы в целом. Монти ---оску или на торцах стропил.</p></div>",u,"50,18",UAH,шт,https://images.ua.prom.st/494609335_w640_h640_cid1051305_pid347435158-0ac782e9.jpg,+,385789575
"Горло желоба Profil 130, коричневый",Водосточные системы Profil,"<div data-qaid=""product_description"" itemprop=""description""><p>Применяется для отвода дождевой воды в местах, где невозможно установить желоб.</p></div>",u,"180,07",UAH,шт,https://images.ua.prom.st/494609328_w640_h640_cid1051305_pid347435151-3dd35a3e.jpg,+,923978800
Аксессуары для водостоков сетка «Левекс тьюб медиум» черная (2 м.п.),Водосточные системы Profil,"<div data-qaid=""product_description"" itemprop=""description""><p>Применение сетки предотвращает: засорение вод ---ной системы, намерзание ль ---а, тем самым уменьшая нагрузку на водосточный желоб. А также сетка не требует дополнительного обслуживания, продлевает срок службы водосточной системы, легко устанавливается в водосточный желоб диаметром 130 мм, не требует дополнительного крепления в желобе, имеет легкий вес и устойчива к ультрафиолету. </p></div>",u,"72,32",UAH,шт,https://images.ua.prom.st/494609319_w640_h640_cid1051305_pid347435144-123b7738.jpg,+,759431131
"Держатель желоба Profil метал. мал. 90, красный",Водосточные системы Profil,"<div data-qaid=""product_description"" itemprop=""description""><p>Предназначен для крепления желоба к кровельной конструкции и задания необходимого уклона водосточной системы в целом. Монти ---оску или на торцах стропил.</p></div>",u,"35,18",UAH,шт,https://images.ua.prom.st/494609353_w640_h640_cid1051305_pid347435172-76839999.jpg,+,586793580
"Держатель трубы Profil метал. L160 130, белый",Водосточные системы Profil,"<div data-qaid=""product_description"" itemprop=""description""><p>Предназначен для крепления водосточной трубы к стене здания. </p></div>",u,"71,83",UAH,шт,https://images.ua.prom.st/494609397_w640_h640_cid1051305_pid347435193-c26eac0a.jpg,+,307527947
"Держатель желоба Profil метал. мал. 130, коричневый",Водосточные системы Profil,"<div data-qaid=""product_description"" itemprop=""description""><p>Предназначен для крепления желоба к кровельной конструкции и задания необходимого уклона водосточной системы в целом. Монти ---оску или на торцах стропил.</p></div>",u,"43,05",UAH,шт,https://images.ua.prom.st/494609344_w640_h640_cid1051305_pid347435165-7f76f661.jpg,+,375661302
"Держатель трубы Profil метал. L220 130, красный",Водосточные системы Profil,"<div data-qaid=""product_description"" itemprop=""description""><p>Предназначен для крепления водосточной трубы к стене здания. </p></div>",u,"77,98",UAH,шт,https://images.ua.prom.st/494612489_w640_h640_cid1051305_pid347435207-b2658013.jpg,+,482348191
"Держатель трубы Profil метал. L100 130, кирпичный",Водосточные системы Profil,"<div data-qaid=""product_description"" itemprop=""description""><p>Предназначен для крепления водосточной трубы к стене здания. </p></div>",u,"56,58",UAH,шт,https://images.ua.prom.st/494609385_w640_h640_cid1051305_pid347435186-c3b14167.jpg,+,532043377
"Держатель трубы Profil метал. L160 90, коричневый",Водосточные системы Profil,"<div data-qaid=""product_description"" itemprop=""description""><p>Предназначен для крепления водосточной трубы к стене здания. </p></div>",u,"62,24",UAH,шт,https://images.ua.prom.st/494609415_w640_h640_cid1051305_pid347435200-c5c37e03.jpg,+,746350289
"Держатель желоба Profil пласт. 90, графит",Водосточные системы Profil,"<div data-qaid=""product_description"" itemprop=""description""><p>Предназначен для крепления желоба к кровельной конструкции и задания необходимого уклона водосточной системы в целом. Монти ---оску или на торцах стропил.</p></div>",u,"31,73",UAH,шт,https://images.ua.prom.st/494609368_w640_h640_cid1051305_pid347435179-e44c8792.jpg,+,689740322
"Горло желоба Profil 130, кирпичный",Водосточные системы Profil,"<div data-qaid=""product_description"" itemprop=""description""><p>Применяется для отвода дождевой воды в местах, где невозможно установить желоб.</p></div>",u,"180,07",UAH,шт,https://images.ua.prom.st/494609329_w640_h640_cid1051305_pid347435152-91300144.jpg,+,435555417
"Держатель трубы Profil метал. L160 130, графит",Водосточные системы Profil,"<div data-qaid=""product_description"" itemprop=""description""><p>Предназначен для крепления водосточной трубы к стене здания. </p></div>",u,"71,83",UAH,шт,https://images.ua.prom.st/494609399_w640_h640_cid1051305_pid347435194-0e70d435.jpg,+,44182975
"Держатель желоба Profil метал. 90, графит",Водосточные системы Profil,"<div data-qaid=""product_description"" itemprop=""description""><p>Предназначен для крепления желоба к кровельной конструкции и задания необходимого уклона водосточной системы в целом. Монти ---оску или на торцах стропил.</p></div>",u,"50,18",UAH,шт,https://images.ua.prom.st/494609336_w640_h640_cid1051305_pid347435159-008f63af.jpg,+,589376639
"Держатель желоба Profil метал. мал. 130, кирпичный",Водосточные системы Profil,"<div data-qaid=""product_description"" itemprop=""description""><p>Предназначен для крепления желоба к кровельной конструкции и задания необходимого уклона водосточной системы в целом. Монти ---оску или на торцах стропил.</p></div>",u,"43,05",UAH,шт,https://images.ua.prom.st/494609345_w640_h640_cid1051305_pid347435166-a3a0c31d.jpg,+,51273806
